text,label
What is my money worth in other countries?,inquiry
Will my money be of equal value when I travel abroad?,inquiry
Do you know the rate of exchange?,inquiry
What foreign exchange rate will I get on weekdays and on the weekends?,inquiry
What is the exchange looking like?,inquiry
How is the exchange rate doing?,inquiry
I would like to know how exchange rates are calculated when transferring funds.,inquiry
I would like to know what exchange rates you use?,inquiry
"If I need to cash foreign transfers, how does that work?",inquiry
Do you know what your exchange rates are?,inquiry
How do I know what exchange rate I will get?,inquiry
What are you exchange rates?,inquiry
Do you have the best exchange rate?,inquiry
Where can I find your exchange rates?,inquiry
Your exchange rates come from where?,inquiry
I need to know what your exchange rates are.,inquiry
What's the process for exchanges?,inquiry
What do you think of the exchange rate?,inquiry
How are exchange rates calculated at this bank?,inquiry
What do you use to figure out the exchange rate for the card?,inquiry
What's the foreign exchange rate I will receive?,inquiry
I need to know what foreign exchange rate I can get.,inquiry
What are the current exchange rates?,inquiry
What exchange rate will I receive?,inquiry
What is the basis of your exchange rates?,inquiry
How's the exchange rate?,inquiry
How do you determine your exchange rates?,inquiry
How do the foreign exchange rates work?,inquiry
Where are you getting your exchange rates from?,inquiry
How is the exchange rate calculated?,inquiry
I'm interested in what your exchange rates are based on.,inquiry
How do you decide what the exchange rates are?,inquiry
What is the current exchange rate?,inquiry
What is the formula for your exchange rate?,inquiry
What method do you use for the exchange rate?,inquiry
What are Interbanks current exchange rates?,inquiry
from where are coming your exchange rates?,inquiry
How do you calculate exchange rates?,inquiry
Why is your exchange rate different on different days?,inquiry
Where can I find the exchange rate for my transfer?,inquiry
Where can I get your exchange rates from?,inquiry
How do you find the exchange rate?,inquiry
How are exchange rates determined?,inquiry
What value can I get for my currency?,inquiry
Please explain your exchange rate policy.,inquiry
What are your exchange rates calculated from?,inquiry
What is an exchange rate?,inquiry
What is your opinion on the exchange rate?,inquiry
What are the exchange rates you assign?,inquiry
How do you determine exchange rates?,inquiry
How are your exchange rates calculated?,inquiry
How is an exchange rate calculated?,inquiry
"When exchanging, how much are the rates?",inquiry
What is the exchange rate for EUR?,inquiry
How can I find your exchange rates?,inquiry
Could you please tell me your exchange rates?,inquiry
Is there an exchange rate?,inquiry
How does the exchange rate work?,inquiry
What is the present state of the exchange rate?,inquiry
How are foreign exchange rates determined?,inquiry
How's the exchange rate looking right now?,inquiry
Please explain the exchange rates.,inquiry
What is the foreign exchange rate you will apply?,inquiry
explain the interbank exchange rate,inquiry
What will my exchange rate be?,inquiry
how do you get exchange rates,inquiry
What exchange rates do you use?,inquiry
How will I know what the exchange rate is?,inquiry
What factors effect the exchange rate?,inquiry
Where does the exchange rate stand right now?,inquiry
I'd like to know what the foreign exchange rate will be.,inquiry
Does the exchange rate change?,inquiry
How do your exchange rates factor in?,inquiry
Will I know which exchange rate I will get?,inquiry
How do I know what the exchange rate will be when I make an exchange.,inquiry
Is the exchange rate the same on weekends as the weekdays?,inquiry
How do you do exchanges?,inquiry
On what do you base your exchange rates?,inquiry
How do you come up with your exchange rate,inquiry
What factors determine your exchange rate?,inquiry
How are the exchange rates determined?,inquiry
I would like to know what your exchange rates are.,inquiry
Is the exchange rate current?,inquiry
What are the exchange rates?,inquiry
How much are the rates of exchange?,inquiry
How do you decide what your exchange rates are?,inquiry
Your exchange rates are coming from where?,inquiry
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,inquiry
How are the exchange rates for transfers calculated?,inquiry
How do I know how much money I will have when I travel abroad?,inquiry
How do you do currency exchanges?,inquiry
Can you explain your exchange rates basis?,inquiry
How did you guys get your exchange rate?,inquiry
Can you tell me your exchange rates?,inquiry
Could you tell me what your exchange rates are?,inquiry
Does this app have the same exchange rate as third parties?,inquiry
what are your exchange rates at?,inquiry
How is the current exchange rate?,inquiry
What is the system for determining the exchange rate?,inquiry
I am travelling and I was wondering what your exchange rates are,inquiry
How can I tell what foreign exchange rate I will get?,inquiry
Tell me your opinion on the exchange rate.,inquiry
I'd like to know what you guys look at to decide an exchange rate,inquiry
How does the exchange rate work on this app?,inquiry
where do you find your exchange rates?,inquiry
I want to know your exchange rates.,inquiry
What exchange rate is it?,inquiry
What is the source of your exchange rates?,inquiry
i need to know about exchange rates,inquiry
Where do you get those exchange rates?,inquiry
How do you determine the exchange rate?,inquiry
What foreign exchange rate will I get?,inquiry
How many different currencies can I hold money in?,inquiry
Do you allow currency exchanges?,inquiry
How many currencies can I have money in in my account?,inquiry
