text,emotion
This is a bit confusing for me,confused
This is unacceptable service,angry
I need help with my account,neutral
This did not go as I hoped,sad
This did not go as I hoped,sad
I am tired of explaining this repeatedly,frustrated
Let me know the next steps,neutral
Please check the status of my request,neutral
I am tired of explaining this repeatedly,frustrated
"Great, I appreciate the quick help",happy
Nothing seems to fix this issue,frustrated
I do not understand how this works,confused
Please check the status of my request,neutral
I want to escalate this issue,angry
Let me know the next steps,neutral
I expected better support,sad
I do not understand how this works,confused
Let me know the next steps,neutral
"Great, I appreciate the quick help",happy
"Great, I appreciate the quick help",happy
This did not go as I hoped,sad
I need help with my account,neutral
This is unacceptable service,angry
"This was very helpful, thank you",happy
Let me know the next steps,neutral
I already tried that and it did not work,frustrated
Your support is not helpful at all,angry
I need help with my account,neutral
"This was very helpful, thank you",happy
"This was very helpful, thank you",happy
"This was very helpful, thank you",happy
"Thanks, that solved my issue",happy
I have a question regarding my order,neutral
This should never have happened,angry
Nothing seems to fix this issue,frustrated
Let me know the next steps,neutral
Let me know the next steps,neutral
Everything is working fine now,happy
Your support is not helpful at all,angry
This problem keeps happening again,frustrated
I am not sure what this message means,confused
I am not sure what this message means,confused
Your support is not helpful at all,angry
What am I supposed to do next,confused
I am extremely upset with this experience,angry
I am tired of explaining this repeatedly,frustrated
"Great, I appreciate the quick help",happy
Your support is not helpful at all,angry
This is unacceptable service,angry
This experience has been upsetting,sad
I am not sure what this message means,confused
This is a bit confusing for me,confused
This problem keeps happening again,frustrated
This should never have happened,angry
Your support is not helpful at all,angry
I already tried that and it did not work,frustrated
I am extremely upset with this experience,angry
This is a bit confusing for me,confused
Glad the issue is fixed,happy
I am contacting support for assistance,neutral
I am extremely upset with this experience,angry
Please check the status of my request,neutral
I am contacting support for assistance,neutral
This did not go as I hoped,sad
This did not go as I hoped,sad
I already tried that and it did not work,frustrated
I am contacting support for assistance,neutral
Glad the issue is fixed,happy
I feel let down by this service,sad
I have a question regarding my order,neutral
I expected better support,sad
I am contacting support for assistance,neutral
What am I supposed to do next,confused
This did not go as I hoped,sad
I am not sure what this message means,confused
I am extremely upset with this experience,angry
Let me know the next steps,neutral
I need help with my account,neutral
I am tired of explaining this repeatedly,frustrated
I am disappointed with the outcome,sad
I am disappointed with the outcome,sad
I need help with my account,neutral
I feel let down by this service,sad
I am tired of explaining this repeatedly,frustrated
This is unacceptable service,angry
I want to escalate this issue,angry
This should never have happened,angry
This is getting really annoying,frustrated
I am contacting support for assistance,neutral
Everything is working fine now,happy
I am tired of explaining this repeatedly,frustrated
This is getting really annoying,frustrated
I already tried that and it did not work,frustrated
I feel let down by this service,sad
Can you explain this in simpler terms,confused
I am not sure what this message means,confused
This did not go as I hoped,sad
Your support is not helpful at all,angry
This should never have happened,angry
"This was very helpful, thank you",happy
I want to escalate this issue,angry
This experience has been upsetting,sad
"Great, I appreciate the quick help",happy
Can you explain this in simpler terms,confused
Nothing seems to fix this issue,frustrated
I need help with my account,neutral
Can you explain this in simpler terms,confused
I am contacting support for assistance,neutral
I need help with my account,neutral
"This was very helpful, thank you",happy
This problem keeps happening again,frustrated
I expected better support,sad
I am extremely upset with this experience,angry
"Thanks, that solved my issue",happy
This is a bit confusing for me,confused
I am extremely upset with this experience,angry
I need help with my account,neutral
Glad the issue is fixed,happy
"This was very helpful, thank you",happy
"Thanks, that solved my issue",happy
I want to escalate this issue,angry
This is getting really annoying,frustrated
This is getting really annoying,frustrated
I am not sure what this message means,confused
I need help with my account,neutral
I have a question regarding my order,neutral
This did not go as I hoped,sad
I have a question regarding my order,neutral
I want to escalate this issue,angry
I want to escalate this issue,angry
Can you explain this in simpler terms,confused
Please check the status of my request,neutral
I am not sure what this message means,confused
Nothing seems to fix this issue,frustrated
This is getting really annoying,frustrated
Can you explain this in simpler terms,confused
Please check the status of my request,neutral
"Great, I appreciate the quick help",happy
I need help with my account,neutral
"Thanks, that solved my issue",happy
I am not sure what this message means,confused
What am I supposed to do next,confused
This experience has been upsetting,sad
I am contacting support for assistance,neutral
What am I supposed to do next,confused
Your support is not helpful at all,angry
This experience has been upsetting,sad
This experience has been upsetting,sad
I want to escalate this issue,angry
I am contacting support for assistance,neutral
I am tired of explaining this repeatedly,frustrated
I am contacting support for assistance,neutral
Glad the issue is fixed,happy
I already tried that and it did not work,frustrated
This is a bit confusing for me,confused
"Great, I appreciate the quick help",happy
What am I supposed to do next,confused
I am extremely upset with this experience,angry
This experience has been upsetting,sad
What am I supposed to do next,confused
This did not go as I hoped,sad
Glad the issue is fixed,happy
This experience has been upsetting,sad
Let me know the next steps,neutral
I already tried that and it did not work,frustrated
Everything is working fine now,happy
I have a question regarding my order,neutral
Glad the issue is fixed,happy
I am extremely upset with this experience,angry
I already tried that and it did not work,frustrated
Can you explain this in simpler terms,confused
I expected better support,sad
Please check the status of my request,neutral
Can you explain this in simpler terms,confused
I expected better support,sad
This is unacceptable service,angry
"Thanks, that solved my issue",happy
This experience has been upsetting,sad
This should never have happened,angry
Let me know the next steps,neutral
This is getting really annoying,frustrated
"Thanks, that solved my issue",happy
I want to escalate this issue,angry
I expected better support,sad
Can you explain this in simpler terms,confused
I am contacting support for assistance,neutral
Let me know the next steps,neutral
This experience has been upsetting,sad
"Great, I appreciate the quick help",happy
I already tried that and it did not work,frustrated
I expected better support,sad
I am not sure what this message means,confused
What am I supposed to do next,confused
I am not sure what this message means,confused
This is a bit confusing for me,confused
I need help with my account,neutral
I expected better support,sad
Everything is working fine now,happy
This is unacceptable service,angry
This did not go as I hoped,sad
"Great, I appreciate the quick help",happy
This is unacceptable service,angry
I am contacting support for assistance,neutral
This did not go as I hoped,sad
I am extremely upset with this experience,angry
"Great, I appreciate the quick help",happy
What am I supposed to do next,confused
I am contacting support for assistance,neutral
This problem keeps happening again,frustrated
I am disappointed with the outcome,sad
I am not sure what this message means,confused
I do not understand how this works,confused
Everything is working fine now,happy
I already tried that and it did not work,frustrated
I expected better support,sad
This did not go as I hoped,sad
I already tried that and it did not work,frustrated
What am I supposed to do next,confused
This experience has been upsetting,sad
Let me know the next steps,neutral
This is unacceptable service,angry
I need help with my account,neutral
Everything is working fine now,happy
