text,label
Cancel my order immediately,cancel_request
What features are included,inquiry
End my membership,cancel_request
The app is not loading on my phone,support_request
I was charged incorrectly,refund_replace
The service has been very unreliable,complaint
End my membership,cancel_request
"Great service, thanks a lot",appreciate
I want to stop my plan,cancel_request
Really appreciate the support,appreciate
I'm frustrated with this experience,complaint
Overall experience is decent,feedback
Cancel my order immediately,cancel_request
Please help me fix this issue,support_request
I want to stop my plan,cancel_request
Thank you for the quick help,appreciate
I want a refund for my purchase,refund_replace
What features are included,inquiry
Please cancel my subscription,cancel_request
Navigation is much better,feedback
The service has been very unreliable,complaint
I have a question about pricing,inquiry
I appreciate how fast this was resolved,appreciate
I like the interface changes,feedback
Thank you for the quick help,appreciate
I'm unhappy with how this works,complaint
I have a question about pricing,inquiry
Thank you for the quick help,appreciate
Is this service available in my area,inquiry
Cancel my order immediately,cancel_request
I want a refund for my purchase,refund_replace
I'm unable to complete my profile,support_request
The new update looks nice,feedback
"Thanks, everything works perfectly now",appreciate
I was charged incorrectly,refund_replace
"Great service, thanks a lot",appreciate
Please replace the damaged item,refund_replace
This problem keeps happening,complaint
End my membership,cancel_request
I have a question about pricing,inquiry
I was charged incorrectly,refund_replace
I no longer need this service,cancel_request
I'd like my money back,refund_replace
The app is not loading on my phone,support_request
This feature keeps breaking,complaint
Thank you for the quick help,appreciate
I want a refund for my purchase,refund_replace
I want to stop my plan,cancel_request
Can someone assist me with setup,support_request
Can you explain how this works,inquiry
The app is not loading on my phone,support_request
What features are included,inquiry
I no longer need this service,cancel_request
Please cancel my subscription,cancel_request
Thank you for the quick help,appreciate
End my membership,cancel_request
This feature keeps breaking,complaint
Please help me fix this issue,support_request
The new update looks nice,feedback
The new update looks nice,feedback
"Thanks, everything works perfectly now",appreciate
How long does delivery take,inquiry
Navigation is much better,feedback
What features are included,inquiry
I'd like my money back,refund_replace
Can you explain how this works,inquiry
I need help accessing my account,support_request
The app feels smoother now,feedback
Is this service available in my area,inquiry
I want a refund for my purchase,refund_replace
I like the interface changes,feedback
The new update looks nice,feedback
I no longer need this service,cancel_request
I'd like my money back,refund_replace
I like the interface changes,feedback
Cancel my order immediately,cancel_request
"Thanks, everything works perfectly now",appreciate
Please replace the damaged item,refund_replace
The app is not loading on my phone,support_request
What features are included,inquiry
I want a refund for my purchase,refund_replace
I'm unable to complete my profile,support_request
The app is not loading on my phone,support_request
"Great service, thanks a lot",appreciate
I want a refund for my purchase,refund_replace
Please cancel my subscription,cancel_request
The new update looks nice,feedback
Really appreciate the support,appreciate
This problem keeps happening,complaint
Is this service available in my area,inquiry
This problem keeps happening,complaint
I want to stop my plan,cancel_request
I was charged incorrectly,refund_replace
I need help accessing my account,support_request
I'm unhappy with how this works,complaint
What features are included,inquiry
This problem keeps happening,complaint
I'm unhappy with how this works,complaint
What features are included,inquiry
Please help me fix this issue,support_request
I'd like my money back,refund_replace
"Great service, thanks a lot",appreciate
Thank you for the quick help,appreciate
I'd like my money back,refund_replace
I appreciate how fast this was resolved,appreciate
I'm unhappy with how this works,complaint
What features are included,inquiry
The app is not loading on my phone,support_request
The service has been very unreliable,complaint
How long does delivery take,inquiry
Please cancel my subscription,cancel_request
Cancel my order immediately,cancel_request
Overall experience is decent,feedback
Thank you for the quick help,appreciate
I'm frustrated with this experience,complaint
Can you explain how this works,inquiry
Please help me fix this issue,support_request
The app is not loading on my phone,support_request
Navigation is much better,feedback
I like the interface changes,feedback
I need help accessing my account,support_request
Can someone assist me with setup,support_request
The app feels smoother now,feedback
I want to stop my plan,cancel_request
Really appreciate the support,appreciate
Navigation is much better,feedback
End my membership,cancel_request
Please cancel my subscription,cancel_request
I'd like my money back,refund_replace
I'm unhappy with how this works,complaint
"Great service, thanks a lot",appreciate
The new update looks nice,feedback
The service has been very unreliable,complaint
Please help me fix this issue,support_request
I'm frustrated with this experience,complaint
I appreciate how fast this was resolved,appreciate
End my membership,cancel_request
I want to stop my plan,cancel_request
Is this service available in my area,inquiry
Is this service available in my area,inquiry
How long does delivery take,inquiry
Is this service available in my area,inquiry
The new update looks nice,feedback
I have a question about pricing,inquiry
I appreciate how fast this was resolved,appreciate
Can you explain how this works,inquiry
I want a refund for my purchase,refund_replace
I like the interface changes,feedback
Can you explain how this works,inquiry
The app is not loading on my phone,support_request
"Great service, thanks a lot",appreciate
This feature keeps breaking,complaint
Overall experience is decent,feedback
The product arrived broken,refund_replace
Please help me fix this issue,support_request
I want a refund for my purchase,refund_replace
How long does delivery take,inquiry
The new update looks nice,feedback
The app feels smoother now,feedback
The service has been very unreliable,complaint
I have a question about pricing,inquiry
I like the interface changes,feedback
The app is not loading on my phone,support_request
"Great service, thanks a lot",appreciate
Can someone assist me with setup,support_request
The new update looks nice,feedback
How long does delivery take,inquiry
"Thanks, everything works perfectly now",appreciate
"Great service, thanks a lot",appreciate
Can someone assist me with setup,support_request
The service has been very unreliable,complaint
The product arrived broken,refund_replace
Please cancel my subscription,cancel_request
The app feels smoother now,feedback
I'm unhappy with how this works,complaint
How long does delivery take,inquiry
The app is not loading on my phone,support_request
Is this service available in my area,inquiry
I'm unable to complete my profile,support_request
Navigation is much better,feedback
I want a refund for my purchase,refund_replace
The app is not loading on my phone,support_request
I'm unhappy with how this works,complaint
The app is not loading on my phone,support_request
I no longer need this service,cancel_request
The product arrived broken,refund_replace
I'm unable to complete my profile,support_request
The product arrived broken,refund_replace
Really appreciate the support,appreciate
"Thanks, everything works perfectly now",appreciate
I was charged incorrectly,refund_replace
Can you explain how this works,inquiry
How long does delivery take,inquiry
How long does delivery take,inquiry
What features are included,inquiry
Please replace the damaged item,refund_replace
I was charged incorrectly,refund_replace
End my membership,cancel_request
I need help accessing my account,support_request
I appreciate how fast this was resolved,appreciate
This problem keeps happening,complaint
Can someone assist me with setup,support_request
I need help accessing my account,support_request
Please cancel my subscription,cancel_request
Really appreciate the support,appreciate
The app is not loading on my phone,support_request
Can you explain how this works,inquiry
"Great service, thanks a lot",appreciate
I'm unhappy with how this works,complaint
I want a refund for my purchase,refund_replace
End my membership,cancel_request
Thank you for the quick help,appreciate
Please help me fix this issue,support_request
Cancel my order immediately,cancel_request
"Thanks, everything works perfectly now",appreciate
I no longer need this service,cancel_request
How long does delivery take,inquiry
Cancel my order immediately,cancel_request
I want to stop my plan,cancel_request
Please replace the damaged item,refund_replace
I have a question about pricing,inquiry
The service has been very unreliable,complaint
What features are included,inquiry
"Thanks, everything works perfectly now",appreciate
Can someone assist me with setup,support_request
I'm unhappy with how this works,complaint
What features are included,inquiry
This feature keeps breaking,complaint
Cancel my order immediately,cancel_request
I like the interface changes,feedback
The service has been very unreliable,complaint
I want a refund for my purchase,refund_replace
I need help accessing my account,support_request
This problem keeps happening,complaint
Can someone assist me with setup,support_request
What features are included,inquiry
I appreciate how fast this was resolved,appreciate
Thank you for the quick help,appreciate
I want a refund for my purchase,refund_replace
I want to stop my plan,cancel_request
Really appreciate the support,appreciate
The app feels smoother now,feedback
Thank you for the quick help,appreciate
Please replace the damaged item,refund_replace
I'm frustrated with this experience,complaint
I appreciate how fast this was resolved,appreciate
I have a question about pricing,inquiry
"Thanks, everything works perfectly now",appreciate
I no longer need this service,cancel_request
I have a question about pricing,inquiry
Can someone assist me with setup,support_request
The new update looks nice,feedback
I want to stop my plan,cancel_request
Really appreciate the support,appreciate
"Thanks, everything works perfectly now",appreciate
This problem keeps happening,complaint
This feature keeps breaking,complaint
I'm frustrated with this experience,complaint
Cancel my order immediately,cancel_request
Please replace the damaged item,refund_replace
I like the interface changes,feedback
"Great service, thanks a lot",appreciate
I appreciate how fast this was resolved,appreciate
This feature keeps breaking,complaint
I no longer need this service,cancel_request
I'd like my money back,refund_replace
Is this service available in my area,inquiry
Navigation is much better,feedback
I want to stop my plan,cancel_request
The new update looks nice,feedback
I want to stop my plan,cancel_request
